course_title,taught_how,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
HIST GRAP+ILLSTRT,Lorenzo di Medici,GRAP,110L,,,Communication and The Arts CO,School Communication Arts CO,3,173
MARIST ABROAD ELECTIVE,Marist Abroad,MAP,310L,,,Registrar RG,Registrar RG,1,174
LAW & LITERATURE,Lecture,ENG,233L,,,Liberal Arts LA,School of Liberal Arts LA,3,175
VOCAL SKILLS I,Lecture,MUS,112L,,,Communication and The Arts CO,School Communication Arts CO,3,176
EVENT PLANNING & OPERATIONS,Marist Abroad,ICOM,203L,,,Communication and The Arts CO,School Communication Arts CO,3,177
ST: GRAPHICS,Lorenzo di Medici,GRAP,292L,,,Communication and The Arts CO,School Communication Arts CO,3,178
ARCHITECTURE IN ITS ENVRNMNT,Marist Abroad,ARCH,311L,,,Communication and The Arts CO,School Communication Arts CO,3,180
MARIST ABROAD ELECTIVE,Lorenzo di Medici,MAP,313N,,,Registrar RG,Registrar RG,1,181
PHOTOJOURNALISM:LONDON LENS,Marist Abroad,ICOM,345L,,,Communication and The Arts CO,School Communication Arts CO,3,182
WEB AUTHORING I,Marist Abroad,GRAP,315L,,,Communication and The Arts CO,School Communication Arts CO,3,183
MARIST ABROAD-LDM,Lecture,MAP,321N,,,Registrar RG,Registrar RG,15,184
OPERATIONS MGT,Lecture,BUS,388N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'Mathematics', '115L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Mathematics', '241L', 'Undergraduate', 'D', ')'], ['And', '(', '', '', 'Mathematics', '130L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Accounting', '204N', 'Undergraduate', 'D', ')']]",Management SM,School of Management SM,3,179
SUSTAINABLE ARCHITECTURE,Marist Abroad,ARCH,312L,,,Communication and The Arts CO,School Communication Arts CO,3,186
THEORY OF MUSIC I,School College,MUS,120L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Music', '103L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,185
TECHNOLOGY FOR 21st CENTURY,Lecture,CMPT,103L,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,3,187
ADVANCED IMAGING,Lorenzo di Medici,GRAP,380N,,,Communication and The Arts CO,School Communication Arts CO,3,188
CHILDREN'S & YA LIT,Lecture,ENG,237L,,,Liberal Arts LA,School of Liberal Arts LA,3,189
MARIST ABROAD-LDM,Lorenzo di Medici,MAP,322N,,,Registrar RG,Registrar RG,12,190
